No.,Spec,feature,sub feature,sub feature,sub feature,test  describtion,,,,priority,level,coverage,testcase,,,,
,,,,,,condition,checkpoit,object,segment,,,,,,,,
功能测试点,,,,,,,,,,,,,,,,,
1,LOAD请求 47,,,,,,,,,,,,tc_dcache_load,,,,
,,单个Load请求,,,,,,,,,,,,,,,
,,,握手valid/ready 12,,,,,,,,,,,,,,
,,,,,,Dcache LoadPipe0可接受Load请求，Load Unit向LoadPipe0发来的请求信号有效;Load Unit向LoadPipe1和LoadPipe2发来的请求信号无效,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe0可接受Load请求，Load Unit向LoadPipe0发来的请求信号无效;Load Unit向LoadPipe1和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe0不可接受Load请求，Load Unit向LoadPipe0发来的请求信号有效;Load Unit向LoadPipe1和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe0不可接受Load请求，Load Unit向LoadPipe0发来的请求信号无效;Load Unit向LoadPipe1和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe1可接受Load请求，Load Unit向LoadPipe1发来的请求信号有效;Load Unit向LoadPipe0和LoadPipe2发来的请求信号无效,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe1可接受Load请求，Load Unit向LoadPipe1发来的请求信号无效;Load Unit向LoadPipe0和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
