Model,DUT,time,token_in,token_out
origin,Adder,40min,,
origin,Adder,39min,1.04M,16.6K
origin,uart_tx,1h14min,,
origin,uart_tx,1h7min,1.49M,90.2K
improved,Adder,27min,,
improved,Adder,30min,647.2K,19.8K
improved,uart_tx,34min,,
improved,uart_tx,38min,1.27M,53.0K
improved,uart_tx,57min,1.36M,37.6K
improved,uart_tx,1h10min,1.22M,43.2K
improved,uart_tx,1h16min,981.9K,27.5K
improved,IntegerDivider,1h18min,,
improved,IntegerDivider,52min,1.57M,34.1K
improved,IntegerDivider,1h5min,1.48M,21.8K
improved,IntegerDivider,1h11min,1.49M,47.5K
improved,IntegerDivider,1h33min,2.38M,79.1K
improved,IntegerDivider,1h34min,2.85M,36.3K
